<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.AAPL,1,20200715,121500,386.56,387.19,386.55,387.16,3526
US1.AAPL,1,20200715,121600,387.02,387.43,387.01,387.29,6043
US1.AAPL,1,20200715,121700,387.02,387.6,386.9,387.48,4113
US1.AAPL,1,20200715,121800,387.58,387.69,387.39,387.69,2200
US1.AAPL,1,20200715,121900,387.6,387.6,387.36,387.54,3042
US1.AAPL,1,20200715,122000,387.61,387.96,387.61,387.8,6271
US1.AAPL,1,20200715,122100,387.78,388.3,387.62,388.3,3642
US1.AAPL,1,20200715,122200,388.21,388.25,387.72,387.94,5069
US1.AAPL,1,20200715,122300,387.9,388.17,387.72,388.01,3500
US1.AAPL,1,20200715,122400,388.06,388.08,387.95,387.97,1400
US1.AAPL,1,20200715,122500,387.91,388.12,387.01,387.14,6303
US1.AAPL,1,20200715,122600,387.42,387.56,387.14,387.32,1700
US1.AAPL,1,20200715,122700,387.43,388,387.32,388,3223
US1.AAPL,1,20200715,122800,388.08,388.23,387.98,388.09,5272
US1.AAPL,1,20200715,122900,388.22,388.84,388.22,388.73,7188
US1.AAPL,1,20200715,123000,388.65,389,388.65,388.85,2922
US1.AAPL,1,20200715,123100,388.86,389.2,388.67,389.03,4482
US1.AAPL,1,20200715,123200,389,389,388.39,388.47,5731
US1.AAPL,1,20200715,123300,388.56,388.64,388.02,388.25,5448
US1.AAPL,1,20200715,123400,388.28,388.45,387.4,387.68,5652
US1.AAPL,1,20200715,123500,387.78,388.21,387.78,388.21,3500
US1.AAPL,1,20200715,123600,388.16,388.21,387.8,388.2,1900
US1.AAPL,1,20200715,123700,388.38,388.98,388.38,388.8,3701
US1.AAPL,1,20200715,123800,388.78,388.85,388.37,388.38,1180
US1.AAPL,1,20200715,123900,388.57,388.58,388.23,388.23,2058
US1.AAPL,1,20200715,124000,388.31,388.31,387.95,388.16,4624
US1.AAPL,1,20200715,124100,388.18,388.46,387.96,388.34,1840
US1.AAPL,1,20200715,124200,388.36,388.54,388.32,388.52,1437
US1.AAPL,1,20200715,124300,388.49,388.64,388.22,388.62,2838
US1.AAPL,1,20200715,124400,388.56,388.77,388.52,388.69,3238
US1.AAPL,1,20200715,124500,388.67,388.82,388.46,388.68,1900
US1.AAPL,1,20200715,124600,388.71,388.78,388.5,388.7,2791
US1.AAPL,1,20200715,124700,388.76,389.25,388.59,389.17,11944
US1.AAPL,1,20200715,124800,389.21,389.77,389.19,389.77,4644
US1.AAPL,1,20200715,124900,389.6,389.68,389.55,389.67,2827
US1.AAPL,1,20200715,125000,389.6,389.6,389.46,389.54,2078
US1.AAPL,1,20200715,125100,389.55,390.01,389.54,390.01,3864
US1.AAPL,1,20200715,125200,389.98,390.18,389.9,390.07,3240
US1.AAPL,1,20200715,125300,390.07,390.07,389.67,389.67,1594
US1.AAPL,1,20200715,125400,389.87,389.91,389.72,389.72,1000
US1.AAPL,1,20200715,125500,389.71,390.12,389.71,389.99,2350
US1.AAPL,1,20200715,125600,389.94,389.94,389.7,389.7,1600
US1.AAPL,1,20200715,125700,389.63,389.89,389.63,389.78,1840
US1.AAPL,1,20200715,125800,389.85,389.96,389.8,389.91,2400
US1.AAPL,1,20200715,125900,389.85,389.97,389.6,389.6,2767
US1.AAPL,1,20200715,130000,389.6,389.85,389.52,389.85,1500
US1.AAPL,1,20200715,130100,389.83,389.87,389.72,389.85,4342
US1.AAPL,1,20200715,130200,389.69,389.74,389.3,389.37,7230
US1.AAPL,1,20200715,130300,389.38,389.38,388.83,388.83,6501
US1.AAPL,1,20200715,130400,388.87,388.87,388.58,388.73,1600
US1.AAPL,1,20200715,130500,388.74,389.01,388.74,388.87,1200
US1.AAPL,1,20200715,130600,389.16,389.19,388.77,388.83,1300
US1.AAPL,1,20200715,130700,388.82,388.99,388.76,388.76,1778
US1.AAPL,1,20200715,130800,388.88,389.15,388.87,388.96,2418
US1.AAPL,1,20200715,130900,388.96,389.22,388.91,389.18,1500
US1.AAPL,1,20200715,131000,389.22,390.2,389.2,390.15,14611
US1.AAPL,1,20200715,131100,390.22,390.9,390.06,390.64,11037
